Item Description-original,Item Description - cleaned,Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value,Reduced Price Value (%),Request to Status Duration (Days),Grant Pricing
SIG ILLUM M39,SIG ILLUM M39,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,1667,1667,0,0,0,22805,6841,-70.00%,200,1017.087
SIG SMK GROUND RED M168,SIG SMK GROUND RED M168,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,1875,1875,0,0,0,2719,825,-69.66%,200,121.565
SIG ILLUM ACFT,SIG ILLUM ACFT,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,2005,2005,0,0,0,26265.5,7879,-70.00%,200,1171.4205
DET PERC M2A1,DET PERC M2A1,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,2228,2228,0,0,0,51417,15425,-70.00%,200,2293.195
DUAL IN-LINE,DUAL IN-LINE,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,3000,3000,0,0,0,151920,45570,-70.00%,200,6775.44
CAP BLAST PRAC ELEC,CAP BLAST PRAC ELEC,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,3000,3000,0,0,0,17430,5229,-70.00%,200,777.378
DET PERC M2A2,DET PERC M2A2,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,3000,3000,0,0,0,59000,17700,-70.00%,200,2631.4
BLASTING CAP,BLASTING CAP,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,3000,3000,0,0,0,26040,7812,-70.00%,200,1161.384
SIG ILLUM ACFT,SIG ILLUM ACFT,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,5000,5000,0,0,0,86000,25800,-70.00%,200,3835.6
COUPLING BASE,COUPLING BASE,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,10000,10000,0,0,0,8400,2800,-66.67%,200,383.6
CTG 50 CAL TRACER,CTG 50 CAL TRACER,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,10911,10911,0,0,0,17240,5640,-67.29%,200,783.88
CTG 7.62MM TRACER,CTG 7.62MM TRACER,Grant Authority,1/1/2010,Army,Romania,Service Authorized to Supply EDA,7/20/2010,149439,149439,0,0,0,44832,13450,-70.00%,200,1999.52
COAT CW CAM PTRN XSXS,COAT CW CAM PTRN XSXS,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,7/23/2010,1665,1665,1243,0,1243,94155.75,28246.73,-70.00%,203,4199.34661
GLOVES FLYERS,GLOVES FLYERS,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,7/23/2010,5500,5500,5500,0,5500,110495,33148.5,-70.00%,203,4928.077
UNDERSHIRT COTTON BROWN,UNDERSHIRT COTTON BROWN,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,7/23/2010,10090,10090,3694,0,3694,31682.6,9504.78,-70.00%,203,1413.04396
CANTEEN WATER: PLASTIC RIGID 1 QT,CANTEEN WATER: PLASTIC RIGID 1 QT,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,7/26/2010,9200,9200,1334,0,1334,44528,13358.4,-70.00%,206,1985.9488
COAT COLD WEATHER CAMO PATTERN,COAT COLD WEATHER CAMO PATTERN,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,3000,3000,847,0,847,169650,50895,-70.00%,219,7566.39
LINER COAT COLD WEATHER,LINER COAT COLD WEATHER,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,3000,3000,2482,0,2482,63840,19152,-70.00%,219,2847.264
SCARF NECKWEAR BRN436,SCARF NECKWEAR BRN436,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,3000,3000,2311,0,2311,18510,5553,-70.00%,219,825.546
LINER COAT COLD WEATHER,LINER COAT COLD WEATHER,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,4600,0,4600,97888,29366.4,-70.00%,219,4365.8048
"BAND,HELMET,CAMOUFLAGE","BAND,HELMET,CAMOUFLAGE",Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,2000,0,2000,4140,1242,-70.00%,219,184.644
MAT SLEEPING,MAT SLEEPING,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,4600,0,4600,154698,46409.4,-70.00%,219,6899.5308
PONCHO WET WEA CAMOFLAUGE,PONCHO WET WEA CAMOFLAUGE,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,1842,0,1842,230276,69082.8,-70.00%,219,10270.3096
BIVY COVER WOODLAND,BIVY COVER WOODLAND,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,4600,0,4600,694048,208214.4,-70.00%,219,30954.5408
SLEEPING BAG,SLEEPING BAG,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,4600,0,4600,215556,64666.8,-70.00%,219,9613.7976
STUFF SACK COMPRESS,STUFF SACK COMPRESS,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,2622,0,2622,74060,22218,-70.00%,219,3303.076
FRAME FIELD PACK W/STRAPS,FRAME FIELD PACK W/STRAPS,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,3945,0,3945,175214,52564.2,-70.00%,219,7814.5444
FIELD PACK: COMBAT OG 106 W/O LINER,FIELD PACK: COMBAT OG 106 W/O LINER,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,2325,0,2325,208334,62500.2,-70.00%,219,9291.6964
CUP WATER CANTEEN WIRE HANDLE,CUP WATER CANTEEN WIRE HANDLE,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,4600,0,4600,50876,15262.8,-70.00%,219,2269.0696
SUSPENDERS NYLON LC-1,SUSPENDERS NYLON LC-1,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,4100,0,4100,55476,16642.8,-70.00%,219,2474.2296
BELT INDIVIDUAL EQUIPMENT,BELT INDIVIDUAL EQUIPMENT,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,157,0,157,51428,15428.4,-70.00%,219,2293.6888
HELMET GR TROOPS PARACHUTISTS: BALLISTIC LAMINATED,HELMET GR TROOPS PARACHUTISTS: BALLISTIC LAMINATED,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,4600,4600,4556,0,4556,682456,204736.8,-70.00%,219,30437.5376
LINER W/W PONCHO A357,LINER W/W PONCHO A357,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,5500,5500,4851,0,4851,201960,60588,-70.00%,219,9007.416
GLOVE INSERTS,GLOVE INSERTS,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,5500,5500,1460,0,1460,5995,1798.5,-70.00%,219,267.377
TROUSERS COLD WEATHER WOODLAND CAMO,TROUSERS COLD WEATHER WOODLAND CAMO,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,5500,5500,5260,0,5260,507650,152295,-70.00%,219,22641.19
SHIRT COLD WEATHER BLACK,SHIRT COLD WEATHER BLACK,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,5500,5500,4765,0,4765,327305,98191.5,-70.00%,219,14597.803
OVERALLS COLD WEATHER: BLACK FLEECE,OVERALLS COLD WEATHER: BLACK FLEECE,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,5500,5500,4064,0,4064,232650,69795,-70.00%,219,10376.19
SCARF NECKWEAR BRN436,SCARF NECKWEAR BRN436,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,5500,5500,5500,0,5500,33935,10180.5,-70.00%,219,1513.501
"PARKA, WET WEATHER WOODLAND CAMOUFLAGE","PARKA, WET WEATHER WOODLAND CAMOUFLAGE",Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,5500,5500,761,0,761,410135,123040.5,-70.00%,219,18292.021
"TROUSERS, WET WEATHER WOODLAND CAMOUFLAGE","TROUSERS, WET WEATHER WOODLAND CAMOUFLAGE",Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,5500,5500,5500,0,5500,300960,90288,-70.00%,219,13422.816
BOOTS COLD WEATHER,BOOTS COLD WEATHER,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,5500,5500,827,0,827,461065,138319.5,-70.00%,219,20563.499
UNDERSHIRT CW,UNDERSHIRT CW,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,6000,6000,4106,0,4106,54300,16290,-70.00%,219,2421.78
DRAWERS COLD WEATHER,DRAWERS COLD WEATHER,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,6000,6000,5950,0,5950,55800,16740,-70.00%,219,2488.68
COVER CANTEEN LC-1,COVER CANTEEN LC-1,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,9200,9200,9200,0,9200,50508,15152.4,-70.00%,219,2252.6568
DRAWERS BRIEFS BROWN,DRAWERS BRIEFS BROWN,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,13800,13800,13800,0,13800,25806,7741.8,-70.00%,219,1150.9476
SOCK BLACK CUSHION,SOCK BLACK CUSHION,Grant Authority,1/1/2010,Army,Afghanistan,EDA Delivered,8/8/2010,22000,22000,13616,0,13616,22035,6610.5,-70.00%,219,982.761
LANDING CRAFT,LANDING CRAFT,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Panama,Service Authorized to Supply EDA,8/16/2010,1,1,0,0,0,1100000,330000,-70.00%,227,49060
CTG 106MM APERS-T,CTG 106MM APERS-T,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,545,545,0,0,0,162410,49723,-69.38%,227,7275.486
CTG 50 CAL API-T M20,CTG 50 CAL API-T M20,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,565,565,0,0,0,8249,2474.7,-70.00%,227,367.9054
SIG ILLUM M39,SIG ILLUM M39,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,1667,1667,0,0,0,22804,6841,-70.00%,227,1017.052
SIG SMK GROUND RED,SIG SMK GROUND RED,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,1874,1874,0,0,0,2717.3,815.19,-70.00%,227,121.19158
CTG 106MM HEAT,CTG 106MM HEAT,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,1929,1929,0,0,0,120370,401232,233.33%,227,17052.374
SIG ILLUM ACFT,SIG ILLUM ACFT,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,2005,2005,0,0,0,26265.5,7879.65,-70.00%,227,1171.4413
CTG 105MM APFSDS-T,CTG 105MM APFSDS-T,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,3359,3359,0,0,0,1994026,598208,-70.00%,227,88933.566
CTG 50 CAL SPOTTER,CTG 50 CAL SPOTTER,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,5686,5686,0,0,0,16718,5061,-69.73%,227,747.082
CTG 50 CAL TRACER,CTG 50 CAL TRACER,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,8733,8733,0,0,0,13798,4139.51,-70.00%,227,615.39432
"FUZE, MTSQ M564 W/BOOSTER","FUZE, MTSQ M564 W/BOOSTER",Grant Authority,1/1/2010,Army,Jordan,Service Authorized to Supply EDA,8/16/2010,10000,10000,0,0,0,558500,167550,-70.00%,227,24909.1
SIG ILLUM ACFT,SIG ILLUM ACFT,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,11060,11060,0,0,0,199520,59856,-70.00%,227,8898.592
SIG SMK,SIG SMK,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,14537,14537,0,0,0,228086,68239,-70.08%,227,10166.658
SIG SMK,SIG SMK,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,14537,14537,0,0,0,228085,68426,-70.00%,227,10172.607
20MM HEI-T M246 LINKED AMMO,20MM HEI-T M246 LINKED AMMO,Grant Authority,1/1/2010,Army,Jordan,Service Authorized to Supply EDA,8/16/2010,22000,22000,0,0,0,69300,20790,-70.00%,227,3090.78
CTG 38 CAL SPEC BALL,CTG 38 CAL SPEC BALL,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,29088,29088,0,0,0,959.04,287.71,-70.00%,227,42.77312
CTG 38 CAL WADCUTTER,CTG 38 CAL WADCUTTER,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,30000,30000,0,0,0,10800,3240,-70.00%,227,481.68
CTG 38 CAL WADCUTTER,CTG 38 CAL WADCUTTER,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,52000,52000,0,0,0,6240,1872,-70.00%,227,278.304
CTG 105MM HEAT-T,CTG 105MM HEAT -T,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,55230,55230,0,0,0,20269410,6080823,-70.00%,227,904015.686
CHARGE DEMO BLOCK,CHARGE DEMO BLOCK,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,73000,73000,0,0,0,127750,38325,-70.00%,227,5697.65
CHARGE DEMO BLOCK,CHARGE DEMO BLOCK,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,73000,73000,0,0,0,455033,136510,-70.00%,227,20294.475
CHARGE DEMO BLOCK,CHARGE DEMO BLOCK,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,106658,106658,0,0,0,188784.66,56529,-70.06%,227,8416.3911
CHARGE DEMO BLOCK,CHARGE DEMO BLOCK,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,216237,216237,0,0,0,1347877,404363,-70.00%,227,60115.311
CTG 22 CAL BALL LT,CTG 22 Cal Ball,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,279180,279180,0,0,0,11167.2,3350.16,-70.00%,227,498.05712
CTG 22 CAL BALL LR,CTG 22 CAL BALL LR,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,279181,279181,0,0,0,11167.24,3350.17,-70.00%,227,498.05884
CTG 7.62MM TRACER,CTG 7.62MM TRACER,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,314000,314000,0,0,0,94116,28235,-70.00%,227,4197.58
CTG 38 CAL SPEC BALL M41,CTG 38 CAL SPEC BALL M41,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,396000,396000,0,0,0,43560,13068,-70.00%,227,1942.776
CTG 22 CAL MATCH,CTG 22 CAL MATCH,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,470678,470678,0,0,0,14798116.32,4439434,-70.00%,227,659995.9592
CTG 22 CAL MATCH LR,CTG 22 CAL MATCH LR,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,470678,470678,0,0,0,147981,44394.35,-70.00%,227,6599.9542
CTG 22 CAL MATCH LR PISTOR,CTG 22 CAL MATCH LR PISTOR,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,870000,870000,0,0,0,69600,20880,-70.00%,227,3104.16
CTG 22 CAL BALL,CTG 22 Cal Ball,Grant Authority,1/1/2010,Army,Peru,Service Authorized to Supply EDA,8/16/2010,870000,870000,0,0,0,17400,5220,-70.00%,227,776.04
CTG 22 CAL MATCH,CTG 22 CAL MATCH,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,2186503,2186503,0,0,0,174920,52476,-70.00%,227,7801.432
CTG 22 CAL BALL,CTG 22 Cal Ball,Grant Authority,1/1/2010,Army,Bahrain,Service Authorized to Supply EDA,8/16/2010,17391835,17391835,0,0,0,347837,104351,-70.00%,227,15513.527
SIG ILLUM GROUND RED M168,SIG ILLUM GROUND RED M168,Grant Authority,1/1/2010,Army,Jordan,Service Authorized to Supply EDA,9/1/2010,1874,1874,0,0,0,2267.54,674.64,-70.25%,243,100.95238
SIG ILLUM ACFT GRN-RED STAR M55,SIG ILLUM ACFT GRN-RED STAR M55,Grant Authority,1/1/2010,Army,Jordan,Service Authorized to Supply EDA,9/1/2010,4080,4080,0,0,0,53448,16034,-70.00%,243,2383.768
SIG ILLUM ACFT YEL STAR M38,SIG ILLUM ACFT YEL STAR M38,Grant Authority,1/1/2010,Army,Jordan,Service Authorized to Supply EDA,9/1/2010,5040,5040,0,0,0,86388,26006,-69.90%,243,3855.772
CTG 22MM AMMUNITION,CTG 22MM AMMUNITION,Grant Authority,1/1/2010,Army,Jordan,Service Authorized to Supply EDA,9/1/2010,279180,279180,0,0,0,11167.2,3350.16,-70.00%,243,498.05712
"AMMUNITION, CTG .38 CAL SPEC BALL M141","AMMUNITION, CTG .38 CAL SPEC BALL M141",Grant Authority,1/1/2010,Army,Jordan,Service Authorized to Supply EDA,9/1/2010,425088,425088,0,0,0,46760,14028,-70.00%,243,2085.496
"TRACTOR, FULL TRACKED","TRACTOR, FULL TRACKED",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Bahrain,EDA Cancelled,9/9/2010,1,1,0,0,0,131501,65750.5,-50.00%,251,6706.551
GENERATOR 580,GENERATOR 580,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Bahrain,EDA Cancelled,9/9/2010,1,1,0,0,0,92500,46250,-50.00%,251,4717.5
GENERATOR,GENERATOR,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Bahrain,EDA Cancelled,9/9/2010,1,1,0,0,0,30210,15105,-50.00%,251,1540.71
GENERATOR 150KW PERKINS,GENERATOR 150KW PERKINS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Bahrain,EDA Cancelled,9/9/2010,1,1,0,0,0,25000,12500,-50.00%,251,1275
GENERATOR 300 KVA PERKINS,GENERATOR 300 KVA PERKINS,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Bahrain,EDA Cancelled,9/9/2010,1,1,0,0,0,1000,500,-50.00%,251,51
"TRUCK,UTILITY","TRUCK,UTILITY",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Bahrain,EDA Accepted/LOA Implemented,9/9/2010,4,4,4,0,0,130924,65462,-50.00%,251,6677.124
C-130E AIRCRAFT(SERIAL NO. 72-1299),C-130E AIRCRAFT(SERIAL NO. 72-1299),Grant Authority,1/1/2010,Air Force,Poland,EDA Delivered,9/10/2010,1,1,1,0,1,15511571,6434194,-58.52%,252,748799.193
"CARRIER, EMERGENCY MEDICAL","CARRIER, EMERGENCY MEDICAL",Grant Authority,1/1/2010,Army,Iraq,EDA Delivered,9/24/2010,2,2,2,0,2,646356,129271.2,-80.00%,266,26759.1384
PAYLOAD INTERFACE M,PAYLOAD INTERFACE M,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2010,1,1,1,0,1,11644,4657.6,-60.00%,272,556.5832
FIRE CONTROL UNIT M,FIRE CONTROL UNIT M,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2010,1,1,1,0,1,74977,29990.8,-60.00%,272,3583.9006
ENGINE WITH CONTAIN,ENGINE WITH CONTAIN,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2010,1,1,1,0,1,19991,3998.2,-80.00%,272,827.6274
"SEMI-TRAILER, LOWBED, 25T","SEMITRAILER, LOWBED 22.5T",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,7729,1545.8,-80.00%,272,319.9806
"TRUCK, CARGO, 2.5T ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,56500,16950,-70.00%,272,2519.9
"TRUCK, WRECKER, 5T, WW","TRUCK, WRECKER, 5T, WW",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,152340,30468,-80.00%,272,6306.876
"TRUCK, CARGO, 2.5T ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,56500,5650,-90.00%,272,2158.3
"TRUCK, CARGO, 2.5T, ESP, WW","TRUCK, CARGO, 2.5T, ESP, WW",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,62144,12428.8,-80.00%,272,2572.7616
"TRUCK, TANK, FUEL, 2.5T","TRUCK, TANK, FUEL, 2.5T",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,98162,39264.8,-60.00%,272,4692.1436
"TRUCK, TANK, WATER, 2.5T","TRUCK, TANK, WATER, 2.5T",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,77692,15538.4,-80.00%,272,3216.4488
"TRUCK, CARGO, 5T, WW","TRUCK, CARGO, 5T, WOW",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,68128,20438.4,-70.00%,272,3038.5088
"TRUCK, CARGO, 5T, W/W","TRUCK, CARGO, 5T, WOW",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,97485,9748.5,-90.00%,272,3723.927
"TRUCK, CARGO, 5T, WOW","TRUCK, CARGO, 5T, WOW",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,54253,5425.3,-90.00%,272,2072.4646
"TRUCK, CARGO, 5T, XLWB","TRUCK, CARGO, 5T XLWB",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,81425,24427.5,-70.00%,272,3631.555
"TRUCK, WRECKER, 5T, WW","TRUCK, WRECKER, 5T, WW",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,152340,45702,-70.00%,272,6794.364
"TRUCK, VAN, EXP 5T, WOW","TRUCK, VAN, EXP, 5T, WOW",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,104733,10473.3,-90.00%,272,4000.8006
"TRUCK, TRACTOR, HET","TRUCK, TRACTOR, HET",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,75416,7541.6,-90.00%,272,2880.8912
"TRUCK, CARGO, 5T XLWB","TRUCK, CARGO, 5T XLWB",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,1,1,1,0,1,85304,17060.8,-80.00%,272,3531.5856
TRUCK TRACTOR: LET 6X6 66000 GVW W/W C/S,TRUCK TRACTOR: LET 6X6 66000 GVW W/W C/S,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Senegal,EDA Delivered,9/30/2010,1,1,1,0,1,69310,13862,-80.00%,272,2869.434
SEMITRAILER LOW BED: 40 TON 6 WHEEL W/E,SEMITRAILER LOW BED: 40 TON 6 WHEEL W/E,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Senegal,EDA Delivered,9/30/2010,1,1,1,0,1,22947,6884.1,-70.00%,272,1023.4362
SEMITRAILER LOW BED: 40 TON 6 WHEEL W/E,SEMITRAILER LOW BED: 40 TON 6 WHEEL W/E,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Senegal,EDA Delivered,9/30/2010,1,1,1,0,1,51900,10380,-80.00%,272,2148.66
"SEMI-TRAILER, LOWBED, 25T","SEMITRAILER, LOWBED 22.5T",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,2,2,2,0,2,15458,3091.6,-80.00%,272,639.9612
"TRUCK, CARGO, DROP SIDE, 5T","TRUCK, CARGO, DROP SIDE, 5T",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,2,2,2,0,2,141226,14122.6,-90.00%,272,5394.8332
SEMITRAILER LOW BED: 25 TON 4 WHEEL W/E,SEMITRAILER LOW BED: 25 TON 4 WHEEL W/E,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Senegal,EDA Delivered,9/30/2010,2,2,2,0,2,7516,751.6,-90.00%,272,287.1112
FIRE CONTR0L PANEL,FIRE CONTR0L PANEL,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2010,3,3,3,0,3,41631,16652.4,-60.00%,272,1989.9618
PAYLOAD INTERFACE M,PAYLOAD INTERFACE M,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2010,3,3,3,0,3,34932,13972.8,-60.00%,272,1669.7496
"TRAILER, FLATBED, 5T, 4 WHEEL","TRAILER, FLATBED, 5T, 4 WHEEL",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,3,3,3,0,3,43269,12980.7,-70.00%,272,1929.7974
"TRUCK, CARGO, DROP SIDE, 5T","TRUCK, CARGO, DROP SIDE, 5T",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,3,3,3,0,3,211839,84735.6,-60.00%,272,10125.9042
"TRUCK, CARGO, 2.5T ESP","TRUCK, CARGO, 2.5T, ESP",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,3,3,3,0,3,169500,50850,-70.00%,272,7559.7
"TRUCK, TRACTOR, HET","TRUCK, TRACTOR, HET",Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Morocco,EDA Delivered,9/30/2010,3,3,3,0,3,226248,45249.6,-80.00%,272,9366.6672
TRANSDUCER SWITCH A,TRANSDUCER SWITCH A,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2010,4,4,4,0,4,30992,12396.8,-60.00%,272,1481.4176
ENGINE BLOCK ASSEMB,ENGINE BLOCK ASSEMB,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Israel,EDA Delivered,9/30/2010,4,4,4,0,4,192884,57865.2,-70.00%,272,8602.6264
SEMITRAILER LOW BED: 25 TON 4 WHEEL W/E,SEMITRAILER LOW BED: 25 TON 4 WHEEL W/E,Grant Authority,1/1/2010,Defense Logistics Agency (DLA),Senegal,EDA Delivered,9/30/2010,4,4,4,0,4,30916,3091.6,-90.00%,272,1180.9912
